Internal ID,Date Created in NetSuite,Type,Item name/SKU#,Description,Inactive,Base Price,Product Category,Class (no hierarchy),Shelf Life (Months),Weight,Length,Width,Height,Available,Total Quantity On Hand,Storage Temperature,Shipping Temperature,Safety Stock Level,Quantity Pricing Schedule,Primary Stock Unit,Primary Sale Unit,Special Work Order Item,OEM Item
14813,9/10/2021 13:33,Assembly,104594,Plasmid Neutralization Buffer (B3) (1L),No,81.4,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14814,9/10/2021 13:34,Assembly,104595,Plasmid Neutralization Buffer (B3) (25 ml),No,40.7,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14816,9/10/2021 13:37,Assembly,104596,Plasmid Wash Buffer 1 (1L),No,84.7,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14817,9/10/2021 13:38,Assembly,104597,Plasmid Wash Buffer 1 (10 ml),No,42.35,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14819,9/10/2021 13:44,Assembly,104598,Plasmid Wash Buffer 2 (1L),No,50.7,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14820,9/10/2021 13:45,Assembly,104599,Plasmid Wash Buffer 2 (10mL),No,25.35,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14822,9/10/2021 14:00,Assembly,104600,DNA Elution Buffer (1L),No,50.7,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14823,9/10/2021 14:00,Assembly,104601,DNA Elution Buffer (25 ml),No,25.35,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14825,9/10/2021 14:08,Assembly,104602,Gel Dissolving Buffer (1L),No,127.9,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14826,9/10/2021 14:13,Assembly,104603,Gel Dissolving Buffer (25 ml),No,63.95,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14828,9/10/2021 14:15,Assembly,104604,DNA Binding Buffer w/o Isopropanol (1L),No,127.9,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14829,9/10/2021 14:15,Assembly,104605,DNA Binding Buffer w/o Isopropanol (25 mL),No,63.95,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14831,9/10/2021 14:24,Assembly,104607,DNA Wash Buffer (1L),No,71.7,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14832,9/10/2021 14:25,Assembly,104608,DNA Wash Buffer (25 ml),No,35.85,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14834,9/10/2021 14:27,Assembly,104609,Proteinase K Resuspension Buffer (1L),No,20.6,Components,Enzymes,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14835,9/10/2021 14:28,Assembly,104610,Proteinase K Resuspension Buffer (10 ml),No,10.3,Components,Enzymes,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14837,9/10/2021 14:43,Assembly,104611,Proteinase K Reaction Buffer (1L),No,20.7,Components,RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14838,9/10/2021 14:44,Assembly,104612,Proteinase K Reaction Buffer (10 ml),No,10.35,Components,RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14840,9/10/2021 14:45,Assembly,104613,DNase I Reaction Buffer (1L),No,20.7,Components,RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14841,9/10/2021 14:46,Assembly,104614,DNase I Reaction Buffer (10 ml),No,10.35,Components,RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14843,9/10/2021 14:51,Assembly,104615,Nuclease-Free Water (1L),No,22.8,Components,DNA/RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14844,9/10/2021 14:52,Assembly,104616,Nuclease-Free Water (25 ml),No,11.4,Components,DNA/RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14846,9/10/2021 14:54,Assembly,104629,DNA/RNA Protection Reagent (1L),No,1496,Components,2X,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14847,9/10/2021 14:55,Assembly,104630,DNA/RNA Protection Reagent (25 ml),No,748,Components,2X,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14850,9/10/2021 15:01,Assembly,104631,RNA Lysis Buffer (1L),No,748,Components,Quick-RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14848,9/10/2021 14:59,Assembly,104632,RNA Lysis Buffer (25 ml),No,374,Components,Quick-RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14852,9/10/2021 15:03,Assembly,104633,RNA Priming Buffer (1L),No,250,Components,Purification,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14853,9/10/2021 15:15,Assembly,104634,RNA Priming Buffer (25 ml),No,125,Components,Purification,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14855,9/10/2021 15:22,Assembly,104635,RNA Wash Buffer (1L),No,40.3,Components,RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14856,9/10/2021 15:22,Assembly,104636,RNA Wash Buffer (25 ml),No,20.15,Components,RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
4072,6/22/2020 13:18,Non-inventory Item,10PK-Bag,,Yes,,,Bags,,,,,,,,,Room Temperature,,,,,,
14735,8/12/2021 14:45,Non-inventory Item,110X300ZFH,,No,,Paper Goods,Labels,,,,,,,,,Room Temperature,,,,,,
19721,8/11/2023 15:09,Non-inventory Item,"12x10x10"" Corrugated Boxes",,No,,Shipping Material,Shipping,,,,,,,,Room Temperature,Room Temperature,,,,,,
18397,11/8/2022 11:00,Non-inventory Item,13-711-7M,,No,,,,,,,,,,,Room Temperature,Room Temperature,,,,,,
15660,2/4/2022 14:57,Assembly,1415-4700-A,"1.5 mL tube, skirted base, autoclaved",Yes,0,Bottles/Tubes,Tubes,,,,,,,,Room Temperature,Room Temperature,,,Tube,Tube,No,No
19245,6/9/2023 12:07,Non-inventory Item,1417R,,No,,,,,,,,,,,Room Temperature,Room Temperature,,,,,,
6672,7/7/2020 14:13,Assembly,1470-0507-A,Amber Screw Cap (AUTOCLAVED),No,0,Bottles/Tubes,Caps,,,,,,2687,2687,Room Temperature,Room Temperature,200,,Cap,Cap,No,No
6673,7/7/2020 14:13,Assembly,1470-0590-A,Natural Screw Cap (AUTOCLAVED),No,0,Bottles/Tubes,Caps,,,,,,5225,5246,Room Temperature,Room Temperature,200,,Cap,Cap,No,No
6674,7/7/2020 14:13,Assembly,1470-0592-A,Green Screw Cap (AUTOCLAVED),No,0,Bottles/Tubes,Caps,,,,,,12182,12182,Room Temperature,Room Temperature,200,,Cap,Cap,No,No
6675,7/7/2020 14:13,Assembly,1470-0593-A,Orange Screw Cap (AUTOCLAVED),No,0,Bottles/Tubes,Caps,,,,,,17136,17136,Room Temperature,Room Temperature,2000,,Cap,Cap,No,No
6676,7/7/2020 14:13,Assembly,1470-0594-A,Red Screw Cap (AUTOCLAVED),No,0,Bottles/Tubes,Caps,,,,,,1096,1180,Room Temperature,Room Temperature,200,,Cap,Cap,No,No
6677,7/7/2020 14:13,Assembly,1470-0596-A,Yellow Screw Cap (AUTOCLAVED),No,0,Bottles/Tubes,Caps,,,,,,3392,3392,Room Temperature,Room Temperature,200,,Cap,Cap,No,No
4071,6/22/2020 13:18,Non-inventory Item,14831108,,No,,,,,,,,,,,,Room Temperature,,,,,,
4073,6/22/2020 13:18,Non-inventory Item,1979T1,,No,,,,,,,,,,,,Room Temperature,,,,,,
13612,2/4/2021 9:33,Non-inventory Item,200PK-Bag,,Yes,,Paper Goods,Bags,,,,,,,,,Room Temperature,,,,,,
4085,6/22/2020 13:18,Non-inventory Item,239516,,No,,Bottles/Tubes,Caps,,,,,,,,,Room Temperature,,,,,,
17397,7/20/2022 9:10,Assembly,24-302-A,"Skirted 96-Well PCR Plate (Autoclaved) 
",No,0,Bottles/Tubes,Plates,,,,,,378,443,Room Temperature,Room Temperature,50,,Plate,Plate,No,No
6171,6/26/2020 14:58,Non-inventory Item,25801 INACTIVE,Polyethylene Sheet: (10 µm)(Width: 11.6 cm x Thickness: 00.762 mm) Note: please ship 50 cm x 60 cm sheets,No,27.15,Chemicals,Manufacturing,,,,,,,,Room Temperature,Room Temperature,,,,Sheet (50 x 60 cm),,
14510,7/20/2021 11:22,Non-inventory Item,2808K103,,No,,,,,,,,,,,,Room Temperature,,,,,,
3977,6/22/2020 13:06,Non-inventory Item,2808K106,,No,,,,,,,,,,,,Room Temperature,,,,,,
14509,7/20/2021 11:19,Non-inventory Item,2808K127,,No,,,,,,,,,,,,Room Temperature,,,,,,
3978,6/22/2020 13:06,Non-inventory Item,2808K129,,No,,,,,,,,,,,,Room Temperature,,,,,,
14896,9/30/2021 15:32,Non-inventory Item,3025K15,,No,,,,,,,,,,,Room Temperature,Room Temperature,,,,,,
20396,2/27/2024 17:24,Non-inventory Item,3766A131,,No,,,,,,,,,,,,Room Temperature,,,,,,
14234,5/17/2021 15:54,Assembly,3DP-1002,PCR Strip MagStand,No,56.7,Machinery,Magnets,,,,,,292,292,Room Temperature,Room Temperature,120,,Each,Each,No,No
18260,9/19/2022 11:35,Assembly,3DP-1003,Baseplate for S6002-96-4 and S6002-96-5,No,0,Components,Accessories,,,,,,246,246,Room Temperature,Room Temperature,0,,Each,Each,No,No
18261,9/19/2022 11:35,Assembly,3DP-1004,Screw Driver for S6002-96-4 and S6002-96-5,No,55,Components,Accessories,,,,,,122,122,Room Temperature,Room Temperature,0,,Each,Each,No,No
18409,11/11/2022 8:33,Assembly,3DP-1005,Fecal Collection Tube Holder,No,305,Machinery,Accessories,,,,,,,,Room Temperature,Room Temperature,0,,Each,Each,No,No
20465,3/28/2024 11:24,Assembly,3DP-1006,Combo MagStand,No,0,Machinery,Magnets,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,No
6371,6/26/2020 15:13,Non-inventory Item,4008-9677,"Combitips advanced, Eppendorf Biopur, 10 ml, 100 tips/box.",No,0,,,,,,,,,,Room Temperature,Room Temperature,,,,100 Pack,,
6372,6/26/2020 15:13,Non-inventory Item,4008-9685,"Combitips advanced, Eppendorf Biopur, 25 ml, 100 tips/box.",No,134.99,,,,,,,,,,Room Temperature,Room Temperature,,,,100 Pack,,
6373,6/26/2020 15:13,Non-inventory Item,4008-9693,"Combitips advanced, Eppendorf Biopur, 50 ml, 100 tips/box.",Yes,134.99,,,,,,,,,,Room Temperature,Room Temperature,,,,100 Pack,,
19812,9/28/2023 9:10,Non-inventory Item,4054N109,,No,,,,,,,,,,,,Room Temperature,,,,,,
3979,6/22/2020 13:06,Non-inventory Item,42-116014,,No,,,,,,,,,,,,Room Temperature,,,,,,
12618,1/15/2021 14:30,Assembly,42-602 INACTIVE,"Chemically Competent Cells, BL21 (DE3) (20 x 50 µl)",Yes,77.97,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12619,1/15/2021 14:30,Assembly,42-603 INACTIVE,Chemically Competent Cells BL21 (DE3) (5 x 200 µl),Yes,54.87,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
6678,7/7/2020 14:13,Assembly,42-603-200 INACTIVE,Single Tube BL21 (DE3) (200 µl),Yes,0,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,No
6679,7/7/2020 14:13,Assembly,42-603-50 INACTIVE,Single Tube BL21 (DE3) (50 µl),Yes,0,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,No
12620,1/15/2021 14:30,Assembly,42-606 INACTIVE,"Chemically Competent Cells, BL21(DE3) pLysS (20 x 50 µl)",Yes,54.87,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
6680,7/7/2020 14:13,Assembly,42-606-50 INACTIVE,Single Tube BL21 (DE3) pLysS (50 µl),Yes,0,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,No
12621,1/15/2021 14:30,Assembly,42-650 INACTIVE,"Chemically Competent Cells, GC5 (10 x 200 µl)",Yes,43.84,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12622,1/15/2021 14:30,Assembly,42-651 INACTIVE,"Chemically Competent Cells, GC5 (10 x 50 µl)",Yes,39.27,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
6681,7/7/2020 14:13,Assembly,42-651-200 INACTIVE - mark inactive once inventory is scrapped,Single Tube GC5 (200 µl),Yes,0,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,No
6682,7/7/2020 14:13,Assembly,42-651-50,Single Tube GC5 (50 µl),No,0,Components,Competent Cells,,,,,,1990,1990,-80C,Dry Ice,,,Each,Each,No,No
12623,1/15/2021 14:30,Assembly,42-652,"Chemically Competent Cells, GC5 (20 x 50 µl)",No,85.76,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12624,1/15/2021 14:30,Assembly,42-652MG,Mix & Plate Competent Cells (10 x 100 µl),No,51.83,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12625,1/15/2021 14:30,Assembly,42-653 INACTIVE mark inactive once inventory is scrapped,"Chemically Competent Cells, GC5 (75 x 50 µl)",Yes,311.28,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12626,1/15/2021 14:30,Assembly,42-654 INACTIVE,"Chemically Competent Cells, GC5 (5 x 200 µl)",Yes,73.05,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
6683,7/7/2020 14:13,Assembly,42-655 INACTIVE mark inactive once inventory is scrapped,"Chemically Competent Cells, GC5  (96 x 20 µl)",Yes,61.85,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
6684,7/7/2020 14:13,Assembly,42-655MG,"Mix & Plate Competent Cells, GC5 (96 x 50 µl)",No,74.22,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12627,1/15/2021 14:30,Assembly,42-656 INACTIVE,"Chemically Competent Cells, GC5 (4 plates of 96 x 20 µl)",Yes,247.4,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12628,1/15/2021 14:30,Assembly,42-657 INACTIVE,"Chemically Competent Cells, GC10 (10 x 50 µl)",Yes,46.2,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
6685,7/7/2020 14:13,Assembly,42-657-200 INACTIVE,Single Tube GC10 (200 µl),Yes,0,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,No
6686,7/7/2020 14:13,Assembly,42-657-50,Single Tube GC10 (50 µl),No,0,Components,Competent Cells,,,,,,842,842,-80C,Dry Ice,,,Each,Each,No,No
12629,1/15/2021 14:30,Assembly,42-658,"Chemically Competent Cells, GC10 (20 x 50 µl)",No,85.76,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12630,1/15/2021 14:30,Assembly,42-658MG INACTIVE,"Mix & Plate Competent Cells, GC10 (10 x 100 µl)",Yes,55.44,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12631,1/15/2021 14:30,Assembly,42-659 INACTIVE,"Chemically Competent Cells, GC10 (75 x 50 µl)",Yes,282.98,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12632,1/15/2021 14:30,Assembly,42-660 INACTIVE,"Chemically Competent Cells, GC10 (5 x 200 µl)",Yes,51.05,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12633,1/15/2021 14:30,Assembly,42-661,"Chemically Competent Cells, GC10 (75 x 200 µl)",No,83.45,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
6687,7/7/2020 14:13,Assembly,42-662 INACTIVE mark inactive once inventory is scrapped,"Chemically Competent Cells, GC10 (96 x 50 µl)",Yes,61.85,Kits,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
6688,7/7/2020 14:13,Assembly,42-662MG INACTIVE,"Mix & Plate Competent Cells, GC10 (96 x 50 µl)",Yes,74.22,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,No
12634,1/15/2021 14:30,Assembly,42-664 INACTIVE,"Electrocompetent Cells, GC10 (5 x 80 µl)",Yes,73.5,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12635,1/15/2021 14:30,Assembly,42-666 INACTIVE,"Electrocompetent Cells, GC10 (5 x 100 µl)",Yes,46.41,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
12636,1/15/2021 14:30,Assembly,42-670 INACTIVE,"Chemically Competent Cells, JM109 (5 x 200 µl)",Yes,51.05,Components,Competent Cells,,,,,,,,-80C,Dry Ice,,,Each,Each,No,Yes
3980,6/22/2020 13:07,Non-inventory Item,42-ZT610-004,,No,,,,,,,,,,,,Room Temperature,,,,,,
18683,2/7/2023 10:46,Non-inventory Item,47245K37,,No,,,,,,,,,,,,Room Temperature,,,,,,
6271,6/26/2020 15:05,Non-inventory Item,4736-8025,Manual repetitive dispenser with five position dial. USA Scientific brand.,No,0,,,,,,,,,,Room Temperature,Room Temperature,,,,Each,,
6272,6/26/2020 15:05,Non-inventory Item,4896 Inactive,"0.035"" 35M PE (42"" x 44"")",Yes,0,Chemicals,Manufacturing,,,,,,,,Room Temperature,Room Temperature,,,,Sheet (42 x 44 in),,
6273,6/26/2020 15:06,Non-inventory Item,4906,"1/8"" Coarse PE Sheet (42 x 44)",No,83.23,Chemicals,Manufacturing,,,,,,,,Room Temperature,Room Temperature,,,,Sheet (36 x 44 in),,
6274,6/26/2020 15:06,Non-inventory Item,4906.125Bottom,1.15 Diameter Disc Bottom Frit,No,0.159,Chemicals,Manufacturing,,,,,,,,Room Temperature,Room Temperature,,,,Each,,
6275,6/26/2020 15:06,Non-inventory Item,4906.125Top,1.156 Diameter Disc Top Frit,No,0.159,Chemicals,Manufacturing,,,,,,,,Room Temperature,Room Temperature,,,,Each,,
13946,3/19/2021 12:00,Non-inventory Item,4913,"1/16 Coarse PE  (42"" x 44"")",No,69.44,Chemicals,Manufacturing,,,,,,,,Room Temperature,Room Temperature,,,,Sheet (42 x 44 in),,
4074,6/22/2020 13:18,Non-inventory Item,500PK-Bag,,Yes,,Paper Goods,Bags,,,,,,,,,Room Temperature,,,,,,
19815,9/28/2023 9:13,Non-inventory Item,5016K322,,No,,,,,,,,,,,,Room Temperature,,,,,,
19816,9/28/2023 9:17,Non-inventory Item,5016K344,,No,,,,,,,,,,,,Room Temperature,,,,,,
19813,9/28/2023 9:11,Non-inventory Item,5016K422,,No,,,,,,,,,,,,Room Temperature,,,,,,
18684,2/7/2023 11:15,Non-inventory Item,5016K488,,No,,,,,,,,,,,,Room Temperature,,,,,,
18121,8/29/2022 15:02,Non-inventory Item,50775K407,,No,,,,,,,,,,,,Room Temperature,,,,,,
41,12/9/2019 16:40,Non-inventory Item,50PK-Bag,,Yes,,Paper Goods,Bags,,,,,,,,,Room Temperature,,,,,,
14508,7/20/2021 11:04,Non-inventory Item,5103K32,,No,,,,,,,,,,,,Room Temperature,,,,,,
14967,10/21/2021 18:13,Non-inventory Item,5103K33,,No,,,,,,,,,,,,Room Temperature,,,,,,
43,12/9/2019 16:40,Non-inventory Item,5103K34,,No,,,,,,,,,,,,Room Temperature,,,,,,
3983,6/22/2020 13:07,Non-inventory Item,5103K36,,No,,,,,,,,,,,,Room Temperature,,,,,,
3984,6/22/2020 13:07,Non-inventory Item,5103K37,,No,,,,,,,,,,,,Room Temperature,,,,,,
16364,4/4/2022 17:57,Non-inventory Item,5103K43,,No,,,,,,,,,,,,Room Temperature,,,,,,
18123,8/29/2022 15:07,Non-inventory Item,5116K197,,No,,,,,,,,,,,,Room Temperature,,,,,,
18124,8/29/2022 15:09,Non-inventory Item,5116K222,,No,,,,,,,,,,,,Room Temperature,,,,,,
18122,8/29/2022 15:06,Non-inventory Item,5121K231,,No,,,,,,,,,,,,Room Temperature,,,,,,
4076,6/22/2020 13:18,Non-inventory Item,51545K25,,No,,,,,,,,,,,,Room Temperature,,,,,,
3985,6/22/2020 13:07,Non-inventory Item,5246K62,,No,,,,,,,,,,,,Room Temperature,,,,,,
3986,6/22/2020 13:07,Non-inventory Item,5246K87,,No,,,,,,,,,,,,Room Temperature,,,,,,
20619,5/20/2024 7:12,Non-inventory Item,53415K139,,No,,,,,,,,,,,,Room Temperature,,,,,,
42,12/9/2019 16:40,Non-inventory Item,53X360DFH,,No,,Paper Goods,Labels,,,,,,,,,Room Temperature,,,,,,
3988,6/22/2020 13:07,Non-inventory Item,55X450ZII,,No,,Paper Goods,Labels,,,,,,,,,Room Temperature,,,,,,
14894,9/30/2021 15:29,Non-inventory Item,5714N19,,No,,,,,,,,,,,Room Temperature,Room Temperature,,,,,,
13125,1/16/2021 14:34,Non-inventory Item,612012 INACTIVE,Grade Hollytex 26.5 in x 1000 yds,Yes,0.172,Chemicals,Manufacturing,,,,,,,,Room Temperature,Room Temperature,,,,"1,000 Yard Roll",,
6689,7/7/2020 14:13,Assembly,649010-A,1.5 ml Natural Skirted Tube (AUTOCLAVED),No,0,Bottles/Tubes,Tubes,,,,,,3905,3926,Room Temperature,Room Temperature,1000,,Tube,Tube,No,No
6690,7/7/2020 14:13,Assembly,649011-A,1.5 ml Natural Tube (AUTOCLAVED),No,0,Bottles/Tubes,Tubes,,,,,,12441,12441,Room Temperature,Room Temperature,2000,,Tube,Tube,No,No
6691,7/7/2020 14:13,Assembly,649050-A,0.5 ml Natural Skirted Tube (AUTOCLAVED),No,0,Bottles/Tubes,Tubes,,,,,,2009,2009,Room Temperature,Room Temperature,500,,Tube,Tube,No,No
15333,11/16/2021 11:48,Non-inventory Item,66000005,,No,,Chemicals,Labels,,,,,,,,Room Temperature,Room Temperature,,,,,,
